,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
106,Training,0.024735698711438065,11,0.5830834767110331,0.5820593029164453,0.209375,0.19659424503551964,0.5300100433581394,7,interleaved,
107,Test,-0.021458200382897273,12,0.5647889909103965,0.5520145060839006,0.2375,0.2339578768949213,0.5214465943623285,7,interleaved,0.95
108,All,0.026753630345133398,12,0.5552174223527333,0.596907786921471,0.2025,0.18981069178271043,0.5270907614061394,7,blocked,
109,Training,0.02995604168488326,11,0.5520058149129727,0.599464371797147,0.196875,0.1847540450437243,0.5305064291229638,7,blocked,
110,Test,0.04555575615333693,10,0.5680638521117757,0.5866814474187668,0.225,0.2100372787386548,0.5134280905388422,7,blocked,0.975
111,All,0.004670039642095454,12,0.5400539086612305,0.5513409436900738,0.2,0.18476426496552562,0.5075284687176088,7,early,
112,Training,0.01385894243590686,11,0.5390136459477414,0.5516501002844733,0.203125,0.1866678668698658,0.5055006967286657,7,early,
113,Test,-0.027898866608544043,11,0.5442149595151865,0.5501043173124759,0.1875,0.17714985734816485,0.5156395566733813,7,early,0.975
114,All,0.018114310117306014,11,0.556668406670141,0.5782622081368275,0.2225,0.20830554727581302,0.5176750931808557,7,middle,
115,Training,0.028348515662023364,10,0.5501385656368657,0.5739814239417751,0.2125,0.1965157851179275,0.4961465967480013,7,middle,
116,Test,-0.005706134094151226,10,0.5827877708032421,0.5953853449170374,0.2625,0.2554645959073552,0.6037890789122734,7,middle,0.875
117,All,0.0014789525488363314,8,0.5816172426648768,0.5851179905562683,0.2275,0.2089501390055978,0.5348031352687552,7,late,
118,Training,0.005930274587998804,8,0.5799806482284368,0.5862037085094555,0.221875,0.20835726268725424,0.514044459965197,7,late,
119,Test,-0.010579176431201893,7,0.5881636204106367,0.5807751187435197,0.25,0.211321644278972,0.6178378364829882,7,late,1.0
120,All,0.005302028857911056,12,0.5644258200552065,0.5875434952491589,0.1875,0.18396652529166538,0.5017683768341071,8,interleaved,
121,Training,-0.0017225553423057339,10,0.5626098901275651,0.5913201821091436,0.184375,0.1767666091087728,0.49913067761664803,8,interleaved,
122,Test,0.07260295628804048,11,0.5716895397657719,0.5724367478092207,0.2,0.21276619002323569,0.5123191737039429,8,interleaved,0.95
123,All,0.016284706120222096,16,0.5340621640015168,0.5455761707861795,0.21,0.18817492404689928,0.5920893075157275,8,blocked,
124,Training,0.029806508171742258,14,0.5369316395593597,0.5508212727261941,0.21875,0.19875409586582415,0.6094225070732695,8,blocked,
125,Test,0.015189873417721518,15,0.5225842617701453,0.5245957630261209,0.175,0.1458582367711998,0.52275650928556,8,blocked,0.9
126,All,0.049505203515093604,13,0.5638239478451348,0.5708773617835038,0.245,0.2294434077983137,0.5478169968963804,8,early,
127,Training,0.07110497210118105,11,0.5611441659523646,0.575009864876562,0.23125,0.2207655799616734,0.5452907171117769,8,early,
128,Test,-0.00028126004500159693,11,0.5745430754162154,0.5543473494112707,0.3,0.26415471914487504,0.5579221160347948,8,early,0.775
129,All,0.023449273523377112,14,0.5641881674452943,0.5520740519692956,0.2375,0.2321290054060478,0.5251069641076073,8,middle,
130,Training,0.024937254457765238,12,0.5594528046573523,0.5498809459594691,0.23125,0.23116280954239823,0.539654247043566,8,middle,
131,Test,0.05955235811350919,11,0.5831296185970626,0.560846476008602,0.2625,0.23599378886064626,0.4669178323637727,8,middle,0.875
