t,e_hat,Accuracy,pe,batch,Condition
142,0,0.9839245692313813,0.45146411167771594,0,Blocked
143,0,0.33235641548887984,0.6144451430754008,0,Blocked
144,0,0.6371243949602736,0.6011616370757389,0,Blocked
145,0,0.9538128516865031,0.5680397646349891,0,Blocked
146,0,0.038400301907026244,0.6546970153824648,0,Blocked
147,0,0.4892230797980359,0.5178974949182517,0,Blocked
148,0,0.4908849011943425,0.5002434084032332,0,Blocked
149,0,0.7410540052287772,0.7135600380252298,0,Blocked
150,0,0.01894688950647559,0.8705246484639843,0,Blocked
151,0,0.6583139576064176,1.0332046974018776,0,Blocked
152,0,0.8470620666742751,0.6852532128876705,0,Blocked
153,0,0.04105999484132554,0.6256069602014596,0,Blocked
154,0,0.07298107050150072,0.7826239289568779,0,Blocked
155,0,0.15695564982119126,0.45951489708062476,0,Blocked
156,0,0.5286650609010477,0.6926435628016767,0,Blocked
157,0,0.056217749595263405,0.8212286245370246,0,Blocked
158,0,0.41592392754233676,0.6319178234024108,0,Blocked
159,0,0.020316934063776736,0.6156898125087524,0,Blocked
160,0,0.021501138165398132,0.8625261012383757,0,Blocked
161,0,0.9975886163612471,0.40347092279525165,0,Blocked
162,0,0.49793645420462007,0.4484743100724435,0,Blocked
163,0,0.31194840528266504,0.7554322650456526,0,Blocked
164,0,0.466797757865942,0.6407277503985389,0,Blocked
165,0,0.06971398215768138,0.5992159871087761,0,Blocked
166,0,0.7716100760102687,0.6016667255552346,0,Blocked
167,0,0.12144124232390556,0.6344643102664591,0,Blocked
168,0,0.4717317067871929,0.5152536497515461,0,Blocked
169,0,0.2424106407508775,0.8171005094965322,0,Blocked
170,0,0.14605728685821692,0.49153377266809395,0,Blocked
171,0,0.27079248021493624,0.7970789668492161,0,Blocked
172,0,0.6636606217583283,0.5491648428162692,0,Blocked
173,0,0.7752744415519005,0.36840932878077687,0,Blocked
174,0,0.7134018440467826,0.4704922059535963,0,Blocked
175,0,0.4788698571179991,0.5900239197223571,0,Blocked
176,0,0.4041921876192027,0.44901392207932717,0,Blocked
177,0,0.22654524661371084,0.70176478043114,0,Blocked
178,0,0.3928232285184653,0.6254066542499666,0,Blocked
179,0,0.5247201136014245,0.7098235935730343,0,Blocked
180,0,0.5584726076360845,0.4665891987561337,0,Blocked
181,0,0.983375522755557,1.4840087405688078,0,Blocked
182,0,0.0380452788416627,0.8374835359384821,0,Blocked
183,0,0.7230626444854533,0.5239076297927178,0,Blocked
184,0,0.8637511190106932,0.6128054883170754,0,Blocked
185,0,0.5721748739470938,0.5124881919477535,0,Blocked
186,0,0.04511980545356513,0.5015105586749056,0,Blocked
187,0,0.30824033258707195,0.5294286675292196,0,Blocked
188,0,0.4966222046914801,0.596673983810103,0,Blocked
189,0,0.22888733486664203,0.688753585455341,0,Blocked
190,0,0.9577045391780447,0.5390452193402467,0,Blocked
191,0,0.186475294127199,0.5891561863328634,0,Blocked
192,0,0.5797202120804088,0.5200269329577011,0,Blocked
193,0,0.9163136725653144,0.4749829281258977,0,Blocked
194,0,0.9313228991708371,0.48407901105417733,0,Blocked
195,0,0.04970308111136198,0.37891499222791014,0,Blocked
196,0,0.4541958682084761,0.8762755231007809,0,Blocked
197,0,0.8575699414459976,0.620027111631473,0,Blocked
198,0,0.022211830912161945,0.6380214684296664,0,Blocked
199,0,0.12907298306246506,0.5589000915427728,0,Blocked
0,0,0.6394180425583489,0.4820453365500773,0,Interleaved
1,0,0.41389292302004077,0.43399305609022754,0,Interleaved
2,0,0.5859088314752533,0.5666271004367427,0,Interleaved
3,0,0.49498980556021416,0.5227772609315782,0,Interleaved
4,0,0.7646007694007417,0.48350706613143335,0,Interleaved
5,0,0.47690647176440565,0.5124339063546623,0,Interleaved
6,0,0.8123998043611989,0.44631922582899225,0,Interleaved
7,0,0.5423743165396935,0.43573599839198346,0,Interleaved
8,0,0.10864576358781759,0.5133567839219682,0,Interleaved
9,0,0.5177537717443984,0.3518843164172414,0,Interleaved
10,0,0.4632627379593718,0.6049842318028944,0,Interleaved
11,0,0.936136613127016,0.4995616636826442,0,Interleaved
12,0,0.8226357844011214,0.6039619229226162,0,Interleaved
13,0,0.39558901468587665,0.8195169921889489,0,Interleaved
14,0,0.26298096145926,0.563816933551982,0,Interleaved
15,0,0.400093899917195,0.5316182123627835,0,Interleaved
16,0,0.18775690048644147,0.5028121065879674,0,Interleaved
17,0,0.7009457812436206,0.4936370541502091,0,Interleaved
18,0,0.5914036579083479,0.41200478967363824,0,Interleaved
19,0,0.30019952399277505,0.596455402191123,0,Interleaved
20,0,0.8378034686325682,0.6332171682338084,0,Interleaved
21,0,0.23378247093384893,0.8201960694236423,0,Interleaved
22,0,0.2130056459007568,0.7498855675796048,0,Interleaved
23,0,0.5698675175919474,0.37684835940847006,0,Interleaved
24,0,0.4619831242585441,0.6646284913477918,0,Interleaved
25,0,0.6331773154305331,0.48479072593333694,0,Interleaved
26,0,0.5107852689235973,0.5728169683737956,0,Interleaved
27,0,0.12507750350437777,0.7320815481377712,0,Interleaved
28,0,0.5199476891620194,0.7313877771593282,0,Interleaved
29,0,0.9995946488719529,1.1330113416083751,0,Interleaved
30,0,0.5571674201280011,0.3878152718013227,0,Interleaved
31,0,0.6800970084354527,0.5037141695060341,0,Interleaved
32,0,0.21551899669578298,0.42492103739027565,0,Interleaved
33,0,0.2554308932918019,0.6231972405216051,0,Interleaved
34,0,0.6929047278698831,0.5590289519795179,0,Interleaved
35,0,0.598131580641887,0.4478401039944908,0,Interleaved
36,0,0.06262067556890429,0.39416610317969714,0,Interleaved
37,0,0.4783373781190194,0.465973620948979,0,Interleaved
38,0,0.28467331550942215,0.4827726822298597,0,Interleaved
39,0,0.3685372449893549,0.5367358450311468,0,Interleaved
40,0,0.49820153368715275,0.506914377890942,0,Interleaved
41,0,0.9088338616359379,0.5067830896610592,0,Interleaved
42,0,0.5535288488206311,0.4688546438635559,0,Interleaved
43,0,0.8220783824484941,0.4685786520347604,0,Interleaved
44,0,0.6770216204452503,0.6138468993416177,0,Interleaved
45,0,0.13725828004375945,0.5963138217752084,0,Interleaved
46,0,0.19503231538066024,0.5390488644212535,0,Interleaved
47,0,0.9766800636594709,0.6812330220557545,0,Interleaved
48,0,0.4322694659422584,0.5867350469953656,0,Interleaved
49,0,0.46554219281858183,0.3292331445039685,0,Interleaved
50,0,0.8141490796180315,0.530572549927652,0,Interleaved
51,0,0.25632403533527887,0.37282369984596864,0,Interleaved
52,0,0.9052514779374565,0.4904769326949741,0,Interleaved
53,0,0.7999405052489635,0.4612896566422957,0,Interleaved
54,0,0.7566165064952219,0.6208875265925103,0,Interleaved
55,0,0.40671723921892317,0.547309168804179,0,Interleaved
56,0,0.15192618404030384,0.5394625546569457,0,Interleaved
57,0,0.6175054381539375,0.5434623149146036,0,Interleaved
58,0,0.396361835085686,0.5969943171989297,0,Interleaved
59,0,0.12755480636881456,0.764005656917113,0,Interleaved
60,0,0.5169043887574154,0.6092007812830382,0,Interleaved
61,0,0.44583676775816694,0.5200597794738696,0,Interleaved
62,0,0.202994659930819,0.6196646451695063,0,Interleaved
